Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,9,2,5.4
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,8,3,6.4
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,2,4,5.9
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,1,5,6.1
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,9,1,6,6.1
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,,,7,
Clark et al. 2006,Greater sage-grouse,Phasianidae,Galliformes,Other,NY99,1999,New York,B,1584.89319246111,Nevada,,,8,
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,1,5.377
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,2,6.88
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,3,7.326
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,4,6.469
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,16,5,6.198
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,11,6,4.758
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,6,7,2.814
Fang et al. 2006,House finch,Fringillidae,Passeriformes,House finch,NY99AAF,1999,New York,B,3162.27766016838,California,16,0,8,
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,1,1.7
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,2,4.736
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,3,6.263
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,4,7.189
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,5,6.28
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,3,6,4.251
